position,caller,owner,healthFactor,healthFactorRaw,isLiquidatable,status,error
0xfb4105D9AD1739D374c1184e8cf0B5A3f877d68B,0xFd1DA87dA7c93e2B0c28bD0832B05E914C1c348A,0xFd1DA87dA7c93e2B0c28bD0832B05E914C1c348A,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x1f41B8FF0A585F53f258FF5222e12673059c5731,0x98E073b579FD483EaC8f10d5bd0B32C8C3BBD7e0,0x98E073b579FD483EaC8f10d5bd0B32C8C3BBD7e0,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0xD40C59B1266Aea2913F17A1374f2FA0777a0b4DE,0xdFfB9d92221CdF75A4255C9CEdc74B8b4D1b6195,0xdFfB9d92221CdF75A4255C9CEdc74B8b4D1b6195,1.356667,1356667084644471880,false,HEALTHY,""
0x9C508070Dd6f4EFC706e12B95c89f488B66E65Ad,0x9c82e8197FF53b1Bb4685193E04B06a3b99F28D8,0x9c82e8197FF53b1Bb4685193E04B06a3b99F28D8,1.342788,1342788339828483483,false,HEALTHY,""
0x1d37892fD4DF31678f18cae429f5A4227fB4D9c8,0x9ECCc96Aef3294484D6FDB5EC4097d595b53197a,0x9ECCc96Aef3294484D6FDB5EC4097d595b53197a,MAX,115792089237316195423570985008687907853269984665640564039457584007913129639935,false,HEALTHY (No debt),""
0x13C8f7A6b5e01B63936fd11668e9188F1c91fac5,0x0D717F8eFa2c932292Dc58521e8b219e2C300CA5,0x0D717F8eFa2c932292Dc58521e8b219e2C300CA5,1.045623,1045622525499789745,false,HEALTHY,""
0x12A25C7eAF8652167345CEB40484adB58767618C,0xe219C66bc50D14F519e1175EbC07f19B7273A530,0xe219C66bc50D14F519e1175EbC07f19B7273A530,1.000215,1000215204160897406,false,HEALTHY,""
0x0b427Fa683DDA43869b7920db9a1156521845870,0x8FBD38F774F44977a3e5Ed2cB9c9d442BeE59AA1,0x8FBD38F774F44977a3e5Ed2cB9c9d442BeE59AA1,1.053045,1053045139773349076,false,HEALTHY,""
0x0175d21167a4B52fEB6e0936aD6150bb00039Eb7,0xC57710c8a2A4423e3f052CBca170B0b80300Bc87,0xC57710c8a2A4423e3f052CBca170B0b80300Bc87,1.125900,1125900050831980811,false,HEALTHY,""
0x739D6BA2C18253e7550F8F92a72670170370eBd6,0x323d3F02cd32BFb3a6977A890E44c808156480E8,0x323d3F02cd32BFb3a6977A890E44c808156480E8,1.032746,1032746166374512597,false,HEALTHY,""
0x9a42b02236491294429562C198A6E11863F7529F,0xA41F6aBCA0cb06a105f12a682E1995Efa0c1d50a,0xA41F6aBCA0cb06a105f12a682E1995Efa0c1d50a,1.332533,1332532793795631384,false,HEALTHY,""
0x44904A2240d2be1B761A745F4f01e541a62b14F4,0x797ae17ab4fDa327E0697B99E5671E5e963A8838,0x797ae17ab4fDa327E0697B99E5671E5e963A8838,1.125903,1125902825148092482,false,HEALTHY,""
